set_control_par_arr	set_control_par_arr( ${1:ui-ID}, ${2:control-parameter}, ${3:value},<br>  ${4:index} )	set_control_par_arr( ui-ID, control-parameter, value, index )	change various parameters of an element within an array based gui control<br>  (for example: cursors in the XY pad)
set_control_par_real_arr	set_control_par_real_arr( ${1:ui-ID}, ${2:control-parameter}, ${3:value},<br>  ${4:index} )	set_control_par_real_arr( ui-ID, control-parameter, value, index )	change various parameters of an element within an array-based UI widget,<br>  e.g. ui_xy cursors.
set_control_par_str	set_control_par_str_arr( ${1:ui-ID}, ${2:CONTROL_PAR_xxx}, ${3:value} )	set_control_par_str_arr( ui-ID, CONTROL_PAR_xxx, value )	A variation of the command for usage with text strings. ( see:<br>  set_control_par() Remarks)
set_control_par_str_arr	set_control_par_str_arr( ${1:ui-ID}, ${2:control-parameter}, ${3:value},<br>  ${4:index} )	set_control_par_str_arr( ui-ID, control-parameter, value, index )	A variation of the command for usage with text strings. ( see:<br>  set_control_par_arr() Remarks)
set_controller	set_controller( ${1:MIDI CC number/$VCC_PITCH_BEND/$VCC_MONO}, ${2:value}<br>  )	set_controller( MIDI CC number/$VCC_PITCH_BEND/$VCC_MONO, value )	send a MIDI CC, pitchbend or channel pressure value
set_engine_par	set_engine_par( ${1:parameter}, ${2:value}, ${3:group}, ${4:slot},<br>  ${5:generic} )	set_engine_par( parameter, value, group, slot, generic )	control automatable KONTAKT parameters and bypass buttons
set_engine_par_m	set_engine_par_m( ${1:arg1}, ${2:arg2}, ${3:arg3}, ${4:arg4}, ${5:arg5} )	set_engine_par_m( arg1, arg2, arg3, arg4, arg5 )	Undocumented
set_event_mark	set_event_mark( ${1:ID-number}, ${2:bit-mark} )	set_event_mark( ID-number, bit-mark )	Assign the specified event to a specific event group
set_event_par	set_event_par( ${1:ID-number}, ${2:parameter}, ${3:value} )	set_event_par( ID-number, parameter, value )	assign a parameter to a specific event
set_event_par_arr	set_event_par_arr( ${1:ID-number}, ${2:parameter}, ${3:value},<br>  ${4:group-index} )	set_event_par_arr( ID-number, parameter, value, group-index )	special form of set_event_par(), used to set the group allow state of the<br>  specified event
set_key_color	set_key_color( ${1:note-nr}, ${2:key-color-constant} )	set_key_color( note-nr, key-color-constant )	sets the color of the specified key (i.e. MIDI note) on the KONTAKT<br>  keyboard. use $KEY_COLOR_****
set_key_name	set_key_name( ${1:note-nr}, ${2:name} )	set_key_name( note-nr, name )	assigns a text string to the specified key
set_key_pressed	set_key_pressed( ${1:note-nr}, ${2:value} )	set_key_pressed( note-nr, value )	sets the trigger state of the specified key on KONTAKT's keyboard either<br>  to pressed/on (1) or released/off (0)
set_key_pressed_support	set_key_pressed_support( ${1:mode} )	set_key_pressed_support( mode )	sets the pressed state support mode for KONTAKT'S keyboard. The available<br>  modes are:<br>    0: KONTAKT handles all pressed states, set_key_pressed() commands are<br>  ignored (default mode)<br>    1: KONTAKT's keyboard is only affected by set_key_pressed() commands
set_key_type	set_key_type( ${1:note-nr}, ${2:key-type-constant} )	set_key_type( note-nr, key-type-constant )	assigns a key type to the specified key.<br>    The following key types are available:<br>    $NI_KEY_TYPE_DEFAULT (i.e. normal mapped notes that produce sound)<br>    $NI_KEY_TYPE_CONTROL (i.e. key switches or other notes that do not produce<br>  sound)<br>    $NI_KEY_TYPE_NONE (resets the key to its normal KONTAKT behaviour)
set_keyrange	set_keyrange( ${1:min-note}, ${2:max-note}, ${3:name} )	set_keyrange( min-note, max-note, name )	assigns a text string to the specified range of keys.
set_knob_defval	set_knob_defval( ${1:variable}, ${2:value} )	set_knob_defval( variable, value )	assign a default value to a knob to which the knob is reset when<br>  Cmd-clicking (mac) or Ctrl-clicking (PC) the knob.
set_knob_label	set_knob_label( ${1:variable}, ${2:text} )	set_knob_label( variable, text )	assign a text string to a knob
set_knob_unit	set_knob_unit( ${1:variable}, ${2:knob-unit-constant} )	set_knob_unit( variable, knob-unit-constant )	assign a unit mark to a knob.
set_listener	set_listener( ${1:signal-type}, ${2:parameter} )	set_listener( signal-type, parameter )	Sets the signals on which the listener callback should react to. Can only<br>  be used in the init callback.
set_loop_par	set_loop_par( ${1:zone-id}, ${2:loop-index}, ${3:parameter}, ${4:value} )	set_loop_par( zone-id, loop_index, parameter, value )	Sets the loop parameters of a user zone	6.2.0
set_map_editor_event_color	set_map_editor_event_color( ${1:hex-value} )	set_map_editor_event_color( hex-value )	Assigns the specified color to events generated in the current script<br>  slot, visible in KONTAKT's Mapping Editor.
set_menu_item_str	set_menu_item_str( ${1:menu-id}, ${2:index}, ${3:string} )	set_menu_item_str( menu-id, index, string )	sets the value of a menu entry.
set_menu_item_value	set_menu_item_value( ${1:menu-id}, ${2:index}, ${3:value} )	set_menu_item_value( menu-id, index, value )	sets the value of a menu entry.
set_menu_item_visibility	set_menu_item_visibility( ${1:menu-id}, ${2:index}, ${3:visibility} )	set_menu_item_visibility( menu-id, index, visibility )	sets the visibility of a menu entry.
set_midi	set_midi( ${1:channel}, ${2:command}, ${3:byte-1}, ${4:byte-2} )	set_midi( channel, command, byte1, byte2 )	create any type of MIDI event. If you simply want to change the MIDI<br>  channel and/or any of the MIDI bytes, you can also use set_event_par().
set_note_controller	set_note_controller( ${1:controller}, ${2:note-number}, ${3:value} )	set_note_controller( controller, note-number, value )	Sends a MIDI 2.0 Registered Per-Note Controller, MIDI 2.0 Assignable<br>  Per-Note Controller or MIDI 2.0 Per-Note Pitch Bend message.	8.0.0
set_nrpn	set_nrpn( ${1:address}, ${2:value} )	set_nrpn( address, value )	send a nrpn message
set_num_user_zones	set_num_user_zones(${1:number_of_user_zones} )	set_num_user_zones( number_of_user_zones )	Creates empty user zones	6.2.0
set_poly_at	set_poly_at( ${1:note-number}, ${2:value} )	set_poly_at( note-number, value )	Sends a MIDI Polyphonic Aftertouch message.	8.0.0
set_rpn	set_rpn( ${1:address}, ${2:value} )	set_rpn( address, value )	send a rpn message
set_sample	set_sample( ${1:zone-id}, ${2:sample-path} )	set_sample( zone-id, sample-path )	Sets the user sample in a zone	6.2.0
set_script_title	set_script_title( ${1:text} )	set_script_title( text )	set the script title
set_skin_offset	set_skin_offset( ${1:offset-in-pixel} )	set_skin_offset( offset-in-pixel )	offsets the chosen background picture file by the specified number of<br>  pixels
set_snapshot_type	set_snapshot_type( ${1:type} )	set_snapshot_type( type )	configures the KSP processor behavior of all five slots when a snapshot<br>  is recalled
set_table_steps_shown	set_table_steps_shown( ${1:variable}, ${2:num-of-steps} )	set_table_steps_shown( variable, num-of-steps )	changes the number of displayed columns in an ui table
set_text	set_text( ${1:variable}, ${2:text} )	set_text( variable, text )	when applied to a label: delete the text currently visible in the<br>  specified label and add new text.<br>    when applied to knobs, buttons, switches and value edits: set the display<br>  name of the ui element.
set_ui_color	set_ui_color( ${1:hex-values}, ${2:text} )	set_ui_color( hex-values, text )	set the main background color of the performance view
set_ui_height	set_ui_height( ${1:height} )	set_ui_height( height )	set the height of a script performance view in grid units
set_ui_height_px	set_ui_height_px( ${1:height} )	set_ui_height_px( height )	set the height of a script performance view in pixels
set_ui_wf_property	set_ui_wf_property( ${1:variable}, ${2:property}, ${3:index}, ${4:value}<br>  )	set_ui_wf_property( variable, property, index, value )	sets different properties for the waveform control
set_ui_width_px	set_ui_width_px( ${1:width} )	set_ui_width_px( width )	set the width of a script performance view in pixels
set_voice_limit	set_voice_limit( ${1:voice-type}, ${2:value} )	set_voice_limit( voice-type, value )	sets the voice limit for the Time Machine Pro mode of the source module
set_zone_par	set_zone_par( ${1:zone-id}, ${2:parameter}, ${3:value} )	set_zone_par( zone-id, parameter, value )	Sets the user zone parameters	6.2.0
sgn	sgn( ${1:x} )	sgn( x )	Signum function (returns -1 if the number is negative, 0 if it's zero, 1<br>  if it's positive)
sh_left	sh_left( ${1:expression}, ${2:shift-bits} )	sh_left( expression, shift-bits )	shifts the bits in <expression> by the amount of <shift-bits><br>  to the left
sh_right	sh_right( ${1:expression}, ${2:shift-bits} )	sh_right( expression, shift-bits )	shifts the bits in <expression> by the amount of <shift-bits><br>  to the right
show_library_tab	show_library_tab	show_library_tab	Undocumented
signbit	signbit( ${1:x} )	signbit( x )	Sign bit (returns 1 if the number is negative, 0 otherwise)
sin	sin( ${1:x} )	sin( x )	sine function
slice_idx_loop_end	slice_idx_loop_end( ${1:arg1}, ${2:arg2} )	slice_idx_loop_end( arg1, arg2 )	Undocumented
slice_idx_loop_start	slice_idx_loop_start( ${1:arg1}, ${2:arg2} )	slice_idx_loop_start( arg1, arg2 )	Undocumented
slice_length	slice_length( ${1:arg1}, ${2:arg2} )	slice_length( arg1, arg2 )	Undocumented
slice_loop_count	slice_loop_count( ${1:arg1}, ${2:arg2} )	slice_loop_count( arg1, arg2 )	Undocumented
slice_start	slice_start( ${1:arg1}, ${2:arg2} )	slice_start( arg1, arg2 )	Undocumented
sort	sort( ${1:array-variable}, ${2:direction} )	sort( array-variable, direction )	searches the specified array for the specified value and returns the<br>  index of its first position.
sqrt	sqrt( ${1:x} )	sqrt( x )	square root
stop_wait	stop_wait( ${1:callback-ID}, ${2:parameter} )	stop_wait( callback-ID, parameter )	stops wait commands in the specified callback
tan	tan( ${1:x} )	tan( x )	tangent function
ticks_to_ms	ticks_to_ms( ${1:ticks} )	ticks_to_ms( ticks )	converts a tempo dependent ticks value into a microseconds value
unload_slot	unload_slot( ${1:arg1} )	unload_slot( arg1 )	Undocumented
wait	wait( ${1:wait-time} )	wait( wait-time )	pauses the callback for the specified time in microseconds
wait_async	wait_async( ${1:asyncID} )	wait_async( asyncID )	waits until the async command identified by the <asyncID> is<br>  finished	6.2.0
wait_ticks	wait_ticks( ${1:wait-time} )	wait_ticks( wait-time )	pauses the callback for the specified time in ticks
watch_array_idx	watch_array_idx( ${1:arr}, ${2:idx} )	watch_array_idx( arr, idx )	Variable watching through Creator Tools	6
watch_var	watch_var( ${1:var} )	watch_var( var )	Variable watching through Creator Tools	6
will_never_terminate	will_never_terminate( ${1:event-id} )	will_never_terminate( event-id )
zone_slice_idx_loop_end	zone_slice_idx_loop_end( ${1:zone-ID}, ${2:loop-index} )	zone_slice_idx_loop_end( zone-ID, loop-index )	returns the index number of the slice at the loop end
zone_slice_idx_loop_start	zone_slice_idx_loop_start( ${1:zone-ID}, ${2:loop-index} )	zone_slice_idx_loop_start( zone-ID, loop-index )	returns the index number of the slice at the loop start
zone_slice_length	zone_slice_length( ${1:zone-ID}, ${2:slice-index} )	zone_slice_length( zone-ID, slice-index )	returns the length in microseconds of the specified slice with respect to<br>  the current tempo
zone_slice_loop_count	zone_slice_loop_count( ${1:zone-ID}, ${2:loop-index} )	zone_slice_loop_count( zone-ID, loop-index )	returns the loop count of the specified loop
zone_slice_start	zone_slice_start( ${1:zone-ID}, ${2:slice-index} )	zone_slice_start( zone-ID, slice-index )	returns the absolute start point of the specified slice in microseconds,<br>  independent of the current tempo
